Turma;Idade;Sexo;Orientação;Religião;Presenciou Bullyng;Meio de transporte;Tempo de locomoção;Passe Escolar;Dificuldade de chegar no Horário;Quem te acorda?;Renda Mensal;Programa Social;Situação Conjugal;Moradia;Escolaridade do Responsável;Situação Alimentar;Ocupação do responsável;Importância do Estudo;Horas de estudo diária;Português;Inglês;Espanhol;Artes;Educação Física;História;Geografia;Sociologia;Filosofia;Matemática;Física;Química;Biologia;Após o horário de aula;Livros por ano;Em relação a pergunta anterior, os livros que você lê são;Ensino Fundamental
2º B;17;Feminino;Heterossexual;;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Alugada;Ensino Superior;Todos os dias temos ao menos 3 refeições;Está desempregado;10;Menos de 1 hora;9;1;0;6;10;7;8;7;6;6;3;4;8;Arrumar a casa;Cinco ou mais;Livros literários de minha preferência;Em uma escola no Pará 
3º A;16;Masculino;Heterossexual;Cristão;Não ;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;8;Não estudo em casa.;8;4;4;4;10;4;4;4;4;9;9;6;4;Fazer atividade Física;Nenhum;Nenhum;Presidente Arthur
2º A;16;Feminino;Heterossexual;Católica ;Não ;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não;Vivem juntos;Cedida;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;7;7;6;7;7;7;7;7;7;7;7;7;7;Arrumar a casa, Fazer atividade Física;Três;Os indicados na escola, Livros literários de minha preferência;Ecovam
2º A;16;Masculino;;;;Carona;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Não estudo em casa.;7;1;5;8;10;7;8;8;8;10;7;7;9;Arrumar a casa, Somente Lazer;Quatro;Os indicados na escola;Ecovam
2º B;16;Masculino;Heterossexual;Não tem;Não ;A Pé;De 20 a 30 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;6;5;6;10;10;7;7;7;7;6;6;6;7;Arrumar a casa, Somente Lazer;Um;Os indicados na escola;Ecovam
1º A;14;Masculino;Heterossexual;;Não ;Bicicleta;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Uma hora;7;9;4;9;10;7;7;4;8;8;6;8;7;Arrumar a casa, Fazer atividade Física;Três;Livros literários de minha preferência;Ecovam
2º B;16;Feminino;Heterossexual;Cristão;Não ;Carro próprio;De 30 minutos a uma hora;Sim;Não;Você acorda sozinho;De 3000 a 5000 reais;Não sei;Vivem separados;Própria;Pós Graduação;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Uma hora;7;10;5;8;10;8;8;8;7;9;5;3;10;Arrumar a casa, Olhar os meus irmãos, Estudar, Fazer atividade Física;Dois;Livros literários de minha preferência, Auto-Ajuda, Lei da atração ;Ecovam
2º B;16;Feminino;Heterossexual;;Não ;Carro próprio;De 10 a 20 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não;Vivem juntos;Alugada;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;5;Não estudo em casa.;3;1;1;5;7;10;4;4;6;0;1;1;3;Arrumar a casa;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
2º A;16;Feminino;;Cristão;;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;5;2;1;5;6;4;5;3;2;7;2;1;3;Arrumar a casa;Quatro;Os indicados na escola;Marieta Telles
3º B;16;Masculino;Heterossexual;Evangélica;Não;Bicicleta;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem juntos;Própria;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;7;Não estudo em casa.;5;4;5;8;10;8;7;8;6;9;9;6;5;Olhar os meus irmãos, Fazer atividade Física;Três;Os indicados na escola;Ecovam
